manuscript_label,figure_id,scope,rendered_stem,draw_function,csv_sidecars,wrapper
Figure 1,fig1_problem_architecture,main,fig1_problem_architecture,draw_fig1,architecture_modules.csv;constraints.csv;outputs.csv;paradigms.csv;partition_states.csv,figures/fig1_problem_architecture/plot_fig1_problem_architecture.py
Figure 2,fig2_biochemical_results,main,fig2_biochemical_results,draw_fig2,biochem.csv;synthetic.csv,figures/fig2_biochemical_results/plot_fig2_biochemical_results.py
Figure 3,fig3_interpretability_ablation,main,fig3_interpretability_ablation,draw_fig3,ablation_summary.csv;configuration_sweep_trials.csv;fig3_helical.csv;robustness_summary.csv,figures/fig3_interpretability_ablation/plot_fig3_interpretability_ablation.py
Figure 4,fig4_state_deployment,main,fig4_state_deployment,draw_fig4,deployment_discordance_summary.csv;external_mpra_summary.csv,figures/fig4_state_deployment/plot_fig4_state_deployment.py
Figure 5,fig5_orthogonal_validation,main,fig5_orthogonal_validation,draw_fig5,case_study_summary.csv;orthogonal_sensitivity.csv,figures/fig5_orthogonal_validation/plot_fig5_orthogonal_validation.py
Extended Figure 1,ext_fig1_dataset_inventory,extended,ext_fig1_dataset_inventory,draw_ext_fig1,benchmark_bundle_sizes.csv;dataset_inventory_by_phase.csv;required_optional_sources.csv;source_type_counts.csv,figures/ext_fig1_dataset_inventory/plot_ext_fig1_dataset_inventory.py
Extended Figure 2,ext_fig2_baseline_ablation_detail,extended,ext_fig2_baseline_ablation_detail,draw_ext_fig2,ablation_diagnostics.csv;feature_baselines.csv;internal_deployment_comparators.csv,figures/ext_fig2_baseline_ablation_detail/plot_ext_fig2_baseline_ablation_detail.py
Extended Figure 3,ext_fig3_benchmark_detail,extended,ext_fig3_benchmark_detail,draw_ext_fig3,deployment_multiseed.csv;external_mpra_multiseed.csv;external_top_baselines.csv,figures/ext_fig3_benchmark_detail/plot_ext_fig3_benchmark_detail.py
Extended Figure 4,ext_fig4_robustness_generalization,extended,ext_fig4_robustness_generalization,draw_ext_fig4,cross_dataset_transfer_summary.csv;paralog_transfer_summary.csv;train_fraction_curve.csv,figures/ext_fig4_robustness_generalization/plot_ext_fig4_robustness_generalization.py
Extended Figure 5,ext_fig5_efficiency_scaling,extended,ext_fig5_efficiency_scaling,draw_ext_fig5,candidate_scaling.csv;external_memory.csv;throughput_latency.csv;variant_throughput.csv,figures/ext_fig5_efficiency_scaling/plot_ext_fig5_efficiency_scaling.py
Extended Figure 6,ext_fig6_orthogonal_case_support,extended,ext_fig6_orthogonal_case_support,draw_ext_fig6,case_study_summary.csv;ccre_state_blocked_robustness.csv;ccre_state_level_summary.csv;encode_overlap_summary.csv,figures/ext_fig6_orthogonal_case_support/plot_ext_fig6_orthogonal_case_support.py
